EMG Data
No	Raw Data	Time(Microseconds)
213	349	1065621
214	314	1070621
215	620	1075621
216	888	1080621
217	598	1085621
218	167	1090622
219	437	1095622
220	859	1100622
221	338	1105622
222	203	1110622
223	782	1115622
224	307	1120622
225	92	1125549
226	655	1130622
227	882	1135622
228	555	1140622
229	406	1145622
230	512	1150622
231	170	1155622
232	726	1160622
233	544	1165622
234	155	1170622
235	628	1175622
236	604	1180622
237	201	1185622
238	458	1190622
239	447	1195622
240	633	1200622
241	442	1205622
242	122	1210622
243	385	1215622
244	845	1220622
245	321	1225622
246	162	1230622
247	723	1235622
248	559	1240622
249	163	1245622
250	302	1250623
251	767	1255623
252	256	1260623
253	153	1265623
254	369	1270623
255	840	1275623
256	350	1280623
257	101	1285623
258	237	1290623
259	707	1295623
260	520	1300623
261	320	1305623
262	349	1310623
263	555	1315623
264	433	1320623
265	530	1325623
266	516	1330623
267	433	1335623
268	467	1340623
269	558	1345623
270	492	1350623
271	467	1355623
272	563	1360623
273	564	1365623
274	509	1370623
275	514	1375623
276	572	1380623
277	489	1385623
278	503	1390623
279	592	1395623
280	540	1400623
281	477	1405624
282	526	1410624
283	511	1415624
284	436	1420624
285	475	1425624
286	491	1430624
287	418	1435624
288	429	1440624
289	472	1445624
290	407	1450624
291	379	1455624
292	441	1460624
293	401	1465624
294	340	1470624
295	390	1475624
296	402	1480624
297	328	1485624
298	348	1490624
299	395	1495624
300	340	1500624
301	313	1505624
302	383	1510624
303	349	1515624
304	303	1520624
305	352	1525624
306	368	1530624
307	306	1535624
308	331	1540624
309	386	1545624
310	319	1550624
311	315	1555624
312	382	1560624
313	366	1565624
314	306	1570626
315	355	1575626
316	374	1580626
317	318	1585626
318	343	1590625
319	395	1595626
320	340	1600625
321	327	1605625
322	389	1610625
323	369	1615626
324	329	1620626
325	380	1625626
326	393	1630626
327	339	1635626
328	371	1640626
329	422	1645626
330	382	1650626
331	386	1655626
332	407	1660626
333	360	1665626
334	343	1670626
335	404	1675626
336	402	1680625
337	359	1685626
338	387	1690626
339	422	1695625
340	392	1700625
341	381	1705626
342	434	1710625
343	404	1715626
344	377	1720626
345	467	1725626
346	453	1730626
347	373	1735626
348	410	1740626
349	506	1745627
350	450	1750626
351	397	1755626
352	432	1760626
353	388	1765627
354	341	1770626
355	439	1775626
356	574	1780626
357	413	1785626
358	360	1790626
359	370	1795627
360	414	1800626
361	625	1805626
362	560	1810626
363	491	1815626
364	366	1820626
365	370	1825627
366	522	1830626
367	337	1835626
368	311	1840626
369	540	1845626
370	488	1850626
371	478	1855627
372	589	1860626
373	510	1865626
374	503	1870626
375	349	1875626
376	388	1880626
377	597	1885628
378	582	1890628
379	890	1895628
380	487	1900627
381	366	1905627
382	657	1910627
383	767	1915627
384	375	1920628
385	172	1925627
386	361	1930627
387	504	1935627
388	740	1940628
389	509	1945628
390	424	1950628
391	722	1955628
392	405	1960627
393	147	1965627
394	720	1970627
395	530	1975627
396	589	1980627
397	166	1985627
398	387	1990627
399	621	1995627
400	303	2000627
401	268	2005627
402	654	2010628
403	657	2015627
404	312	2020627
405	266	2025628
406	656	2030627
407	606	2035627
408	168	2040628
409	514	2045628
410	879	2050628
411	336	2055628
412	101	2060628
413	195	2065628
414	640	2070628
415	851	2075628
416	419	2080628
417	227	2085628
418	738	2090628
419	743	2095628
420	255	2100628
421	144	2105628
422	736	2110628
423	530	2115628
424	162	2120628
425	536	2125628
426	737	2130628
427	544	2135628
428	226	2140628
429	173	2145628
430	595	2150628
431	458	2155628
432	387	2160628
433	570	2165628
434	732	2170628
435	760	2175628
436	280	2180628
437	223	2185628
438	269	2190629
439	457	2195628
440	723	2200628
441	872	2205628
442	274	2210630
443	128	2215630
444	423	2220629
445	682	2225630
446	844	2230630
447	403	2235629
448	133	2240630
449	389	2245630
450	715	2250629
451	495	2255630
452	330	2260630
453	502	2265630
454	460	2270630
455	522	2275630
456	654	2280630
457	413	2285629
458	409	2290630
459	552	2295629
460	468	2300629
461	429	2305630
462	534	2310629
463	569	2315629
464	461	2320630
465	529	2325629
466	619	2330629
467	506	2335630
468	495	2340629
469	575	2345630
470	505	2350630
471	497	2355631
472	577	2360631
473	594	2365630
474	577	2370631
475	647	2375630
476	494	2380630
477	440	2385631
478	468	2390630
479	526	2395631
480	490	2400630
